Points,Threads,SequentialTime,OPENMP,TBB,CILK_PLUS,C++11
100,2,0.010758,0.017744,0.02426,0.017673,0.047543
100,2,0.006636,0.005052,0.007396,0.074952,0.014158
100,4,0.002087,0.005335,0.012257,0.04166,0.040527
100,4,0.0021,0.005756,0.026041,0.009184,0.043947
100,8,0.002083,0.00493,0.01315,0.007507,0.05623
100,8,0.00208,0.005021,0.077472,0.005904,0.02171
1000,2,0.159924,0.361571,0.268108,0.27546,0.324525
1000,2,0.160849,0.360455,0.32506,0.28314,0.321396
1000,4,0.159965,0.362811,0.336068,0.284024,0.336083
1000,4,0.162455,0.372875,0.333651,0.281914,0.333035
1000,8,0.160968,0.361401,0.340997,0.290034,0.291214
1000,8,0.161056,0.360485,0.340305,0.294839,0.331405
10000,2,23.0036,33.2279,23.77,33.4343,32.2714
10000,2,22.2068,33.0584,23.48,34.2495,34.5246
10000,4,22.0709,34.1394,31.7753,31.1365,28.3479
10000,4,18.5813,30.6113,28.916,29.9534,26.6459
10000,8,17.4833,30.3127,29.5405,30.7491,30.0901
10000,8,18.0236,31.3664,30.9463,31.142,37.3886
